Apartmán,Booking URL,Airbnb URLs
Apartmány Enjoy Downtown 12 (SB12),https://www.booking.com/hotel/cz/enjoy-downtown-boutique-apartments-12-by-goodnite-cz.cs.html,"https://www.airbnb.cz/rooms/1233175077553539230, https://www.airbnb.cz/rooms/1233186266689557386, https://www.airbnb.cz/rooms/1304299440445275073, https://www.airbnb.cz/rooms/1309949447469544213, https://www.airbnb.cz/rooms/1310293981295696497, https://www.airbnb.cz/rooms/1370242969184611778"
Apartmány Enjoy Downtown 13 (SB13),https://www.booking.com/hotel/cz/enjoy-downtown-apartments.cs.html,"https://www.airbnb.cz/rooms/937419551613493813, https://www.airbnb.cz/rooms/937436861417483100, https://www.airbnb.cz/rooms/937440932089030067, https://www.airbnb.cz/rooms/937442200952987669, https://www.airbnb.cz/rooms/937443143233865761"
Apartmány Enjoy Downtown – Zelný trh (Zelný trh 11),https://www.booking.com/hotel/cz/apartments-zelny-trh-brno.cs.html,"https://www.airbnb.cz/rooms/24989240, https://www.airbnb.cz/rooms/30107476, https://www.airbnb.cz/rooms/31417813"
Luxusní apartmány Enjoy Downtown – Zelný trh (Zelný trh 10),,https://www.airbnb.cz/rooms/1340570238596152929
Prezidentské butikové apartmány Enjoy Downtown (Mečová 8),https://www.booking.com/hotel/cz/president-mezonet-apartment-brno.cs.html,"https://www.airbnb.cz/rooms/35874330, https://www.airbnb.cz/rooms/1304301223968043898, https://www.airbnb.cz/rooms/1304326710416074068"
Butikový apartmán Coco Chanel (Mečová 4),https://www.booking.com/hotel/cz/coco-chanel-boutique-apartment.cs.html,https://www.airbnb.cz/rooms/24157376
Terrace Botique Apartment (Veveří 14),https://www.booking.com/hotel/cz/panorama-apartment-by-goodnite-cz.cs.html,
Apartmány Great Chill (Králova 11),https://www.booking.com/hotel/cz/boutique-chill-apartments-br-no-11.cs.html,"https://www.airbnb.cz/rooms/43423419, https://www.airbnb.cz/rooms/43423575, https://www.airbnb.cz/rooms/43423648"
Apartmány Orange Glow (Úvoz 47),https://www.booking.com/hotel/cz/boutique-city-apartments-br-no-47.cs.html,"https://www.airbnb.cz/rooms/43422941, https://www.airbnb.cz/rooms/43423390"
Old Town Apartment Spilberk (Úvoz 52),https://www.booking.com/hotel/cz/old-town-apartment-spilberk.cs.html,https://www.airbnb.cz/rooms/18239405
Penzion Expo Dream (Křížkovského 33),https://www.booking.com/hotel/cz/expo-living-33.cs.html,"https://www.airbnb.cz/rooms/914343489992902201, https://www.airbnb.cz/rooms/914368817025440051, https://www.airbnb.cz/rooms/914381522684188849, https://www.airbnb.cz/rooms/917116289159503611, https://www.airbnb.cz/rooms/917154683159010140, https://www.airbnb.cz/rooms/917160393429636083"
Apartmány Expo Dream Veletržní (Veletržní 5),https://www.booking.com/hotel/cz/veletrzni-boutique-apartments.cs.html,"https://www.airbnb.cz/rooms/38746437, https://www.airbnb.cz/rooms/38818661, https://www.airbnb.cz/rooms/38818873, https://www.airbnb.cz/rooms/43423648, https://www.airbnb.cz/rooms/43423768"
Hotel Botanica,https://www.booking.com/hotel/cz/botanica-by-goodnite-cz.cs.html,"https://www.airbnb.cz/rooms/1143527267597148810, https://www.airbnb.cz/rooms/1143542289667793444"
Hotel Riverside,https://www.booking.com/hotel/cz/riverside-by-goodnite.cs.html,"https://www.airbnb.cz/rooms/1107311145657805160, https://www.airbnb.cz/rooms/1107328005374465451"
Penzion Village Peace (Líšeň),https://www.booking.com/hotel/cz/penzion-u-libusky-29-brno-living-cz.cs.html,"https://www.airbnb.cz/rooms/24227361, https://www.airbnb.cz/rooms/31343110, https://www.airbnb.cz/rooms/31343360, https://www.airbnb.cz/rooms/31343714, https://www.airbnb.cz/rooms/31343940, https://www.airbnb.cz/rooms/31344139, https://www.airbnb.cz/rooms/31344265, https://www.airbnb.cz/rooms/31344391"
Sky Apartments Vlhká,https://www.booking.com/hotel/cz/modern-panorama-residence.cs.html,"https://www.airbnb.cz/rooms/913579903028622755, https://www.airbnb.cz/rooms/913592035979370296, https://www.airbnb.cz/rooms/913603052446487105, https://www.airbnb.cz/rooms/913616909332803388, https://www.airbnb.cz/rooms/913626383429863419, https://www.airbnb.cz/rooms/913632816190671476"
